Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
CHEVROLET TRACKER,1.8 MPFI LTZ 4X2 16V FLEX 4P AUTOMÁTICO,Y,2014/2014,128115 km,São Paulo - SP,Loja,R$ 63900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2015/2016,48000 km,Manaus - AM,Concessionária,R$ 89900
FIAT CRONOS,1.3 FIREFLY FLEX DRIVE MANUAL,N,2018/2019,49920 km,Jaraguá do Sul - SC,Loja,R$ 67500
FIAT GRAND SIENA,1.0 EVO FLEX ATTRACTIVE MANUAL,N,2020/2021,36581 km,Itajaí - SC,Loja,R$ 55970
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2019/2020,48700 km,Ibitinga - SP,Loja,R$ 100000
FORD ECOSPORT,1.6 FREESTYLE 16V FLEX 4P MANUAL,N,2014/2014,99900 km,Birigui - SP,Loja,R$ 50000
FORD ECOSPORT,1.6 FREESTYLE 16V FLEX 4P MANUAL,N,2015/2015,70400 km,Ibitinga - SP,Loja,R$ 55000
CHEVROLET TRACKER,1.8 MPFI LTZ 4X2 16V FLEX 4P AUTOMÁTICO,Y,2016/2016,67050 km,Campinas - SP,Concessionária,R$ 72900
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2016/2017,27548 km,São Paulo - SP,Loja,R$ 89900
HONDA HR-V,1.8 16V FLEX TOURING 4P AUTOMÁTICO,Y,2018/2018,35360 km,Joinville - SC,Concessionária,R$ 107990
RENAULT DUSTER,1.6 16V SCE FLEX EXPRESSION MANUAL,N,2019/2020,35000 km,Natal - RN,Loja,R$ 75900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2015/2016,118500 km,Sorocaba - SP,Loja,R$ 86900
HONDA HR-V,1.8 16V FLEX TOURING 4P AUTOMÁTICO,Y,2018/2018,47699 km,Chapecó - SC,Loja,R$ 108871
JAC T5,1.5 16V JETFLEX 4P CVT,Y,2017/2018,35000 km,Rio de Janeiro - RJ,Loja,R$ 64890
JEEP RENEGADE,1.8 16V FLEX 4P AUTOMÁTICO,Y,2018/2018,61490 km,Matão - SP,Loja,R$ 79990
RENAULT DUSTER,2.0 16V HI-FLEX DYNAMIQUE 4WD MANUAL,N,2017/2018,74300 km,Barretos - SP,Loja,R$ 75900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2017/2018,65600 km,Recife - PE,Loja,R$ 99900
MERCEDES-BENZ GLB 200,1.3 CGI GASOLINA ADVANCE 7G-DCT,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 359000
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2020/2021,3621 km,São Paulo - SP,Loja,R$ 103000
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2021/2021,0 km,Atibaia - SP,Concessionária,R$ 116990
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,31900 km,São Vicente - SP,Loja,R$ 108900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2013/2013,113000 km,São Paulo - SP,Pessoa Física,R$ 35000
PEUGEOT 208,1.6 16V FLEX ACTIVE AT6,Y,2020/2021,3300 km,Brasília - DF,Pessoa Física,R$ 75900
CITROËN C3,1.2 PURE TECH FLEX ORIGINE MANUAL,N,2017/2018,63500 km,São Paulo - SP,Pessoa Física,R$ 36000
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2018/2018,40000 km,Jaguariúna - SP,Pessoa Física,R$ 37800
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2014/2015,84500 km,Curitiba - PR,Pessoa Física,R$ 35999
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,22300 km,Juína - MT,Pessoa Física,R$ 42000
NISSAN MARCH,1.0 S 12V FLEX 4P MANUAL,N,2015/2016,65270 km,Santa Vitória do Palmar - RS,Pessoa Física,R$ 33000
NISSAN MARCH,1.0 S 16V FLEX 4P MANUAL,N,2015/2015,118000 km,São Paulo - SP,Pessoa Física,R$ 30000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2019,25186 km,Campo Bom - RS,Pessoa Física,R$ 44000
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2018/2019,20370 km,Caraguatatuba - SP,Pessoa Física,R$ 53000
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX CONNECT 4P MANUAL,N,2019/2020,13486 km,São Paulo - SP,Pessoa Física,R$ 65000
PEUGEOT 208,1.2 ACTIVE 12V FLEX 4P MANUAL,N,2017/2017,122500 km,Itapetininga - SP,Pessoa Física,R$ 36900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2014/2015,60700 km,Balneário Camboriú - SC,Pessoa Física,R$ 39700
FORD KA,1.0 TI-VCT FLEX S MANUAL,N,2020/2020,44503 km,São Paulo - SP,Pessoa Física,R$ 41500
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,7500 km,Caldas Novas - GO,Pessoa Física,R$ 131900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,40637 km,Rio das Ostras - RJ,Pessoa Física,R$ 40900
PEUGEOT 208,1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO,Y,2017/2018,39100 km,São Paulo - SP,Pessoa Física,R$ 64100
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2015/2015,118 km,Cuiabá - MT,Pessoa Física,R$ 32500
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2021/2021,2500 km,Piedade - SP,Pessoa Física,R$ 78500
CHEVROLET ONIX,1.0 MPFI LS 8V FLEX 4P MANUAL,N,2016/2016,59000 km,Natal - RN,Pessoa Física,R$ 40000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2019,43000 km,Uberaba - MG,Pessoa Física,R$ 35000
FIAT ARGO,1.3 FIREFLY FLEX TREKKING MANUAL,N,2020/2020,11500 km,Limeira - SP,Pessoa Física,R$ 72000
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2019/2019,30486 km,Fortaleza - CE,Pessoa Física,R$ 51900
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2021/2021,5800 km,Brasília - DF,Pessoa Física,R$ 86900
FORD KA,1.0 TI-VCT FLEX SE SEDAN MANUAL,N,2019/2019,22000 km,São Paulo - SP,Pessoa Física,R$ 49900
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2020/2021,7500 km,São Paulo - SP,Pessoa Física,R$ 50900
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,59000 km,Cuiabá - MT,Pessoa Física,R$ 44990
RENAULT KWID,1.0 12V SCE FLEX OUTSIDER MANUAL,N,2020/2020,12000 km,Chapecó - SC,Pessoa Física,R$ 51990
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2020/2021,8000 km,Rio Verde - GO,Pessoa Física,R$ 52000
CITROËN C3,1.2 PURE TECH FLEX ATTRACTION MANUAL,N,2018/2019,20000 km,Peruíbe - SP,Pessoa Física,R$ 50000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,3500 km,Belo Horizonte - MG,Pessoa Física,R$ 89900
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2020/2021,4850 km,Poços de Caldas - MG,Pessoa Física,R$ 64000
FIAT ARGO,1.3 FIREFLY FLEX TREKKING MANUAL,N,2019/2020,16000 km,São Paulo - SP,Pessoa Física,R$ 70900
CHEVROLET ONIX,1.0 FLEX LT MANUAL,N,2020/2020,12000 km,São João do Sul - SC,Pessoa Física,R$ 69000
PEUGEOT 208,1.2 ALLURE 12V FLEX 4P MANUAL,N,2019/2020,15500 km,Curitiba - PR,Pessoa Física,R$ 62500
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2019/2020,17518 km,Uberlândia - MG,Pessoa Física,R$ 86000
FIAT ARGO,1.3 FIREFLY FLEX TREKKING MANUAL,N,2020/2020,22000 km,Bezerros - PE,Pessoa Física,R$ 65000
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2017/2018,145000 km,Brasília - DF,Pessoa Física,R$ 46500
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2021/2021,7400 km,Curitiba - PR,Pessoa Física,R$ 80000
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2019/2019,9000 km,Vargem Grande Paulista - SP,Pessoa Física,R$ 47000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX COMFORTLINE 4P MANUAL,N,2016/2017,35000 km,São Paulo - SP,Pessoa Física,R$ 44990
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,13900 km,Porto Alegre - RS,Pessoa Física,R$ 125500
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2018/2019,65000 km,Brasília - DF,Pessoa Física,R$ 47000
CHEVROLET ONIX,1.0 TURBO FLEX LT AUTOMÁTICO,Y,2019/2020,15000 km,Curitiba - PR,Pessoa Física,R$ 78900
JAC IEV40,ELÉTRICO AUTOMÁTICO,Y,2019/2020,15000 km,Florianópolis - SC,Pessoa Física,R$ 165000
PEUGEOT 208,1.2 ACTIVE 12V FLEX 4P MANUAL,N,2017/2017,44000 km,Juiz de Fora - MG,Pessoa Física,R$ 42000
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX CONNECT 4P MANUAL,N,2020/2020,15000 km,Porto Alegre - RS,Pessoa Física,R$ 80000
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,56000 km,Taboão da Serra - SP,Pessoa Física,R$ 52500
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,19000 km,Mogi Guaçu - SP,Pessoa Física,R$ 90000
CHEVROLET PRISMA,1.4 MPFI LT 8V FLEX 4P AUTOMÁTICO,Y,2016/2017,48000 km,Porto Alegre - RS,Pessoa Física,R$ 57000
PEUGEOT 208,1.2 ACTIVE PACK 12V FLEX 4P MANUAL,N,2017/2017,153500 km,Birigui - SP,Pessoa Física,R$ 39999
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2018/2019,23567 km,Florianópolis - SC,Pessoa Física,R$ 46500
FIAT UNO,1.0 FIREFLY FLEX WAY 4P MANUAL,N,2016/2017,49000 km,Belo Horizonte - MG,Pessoa Física,R$ 39000
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2018/2019,20200 km,São Paulo - SP,Pessoa Física,R$ 42000
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2019/2020,37847 km,São Paulo - SP,Pessoa Física,R$ 84000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2015/2015,199999 km,Curitiba - PR,Pessoa Física,R$ 32900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2016/2017,113879 km,Campinas - SP,Pessoa Física,R$ 38000
FIAT ARGO,1.0 FIREFLY FLEX MANUAL,N,2021/2021,2990 km,Campinas - SP,Pessoa Física,R$ 59990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,41300 km,São Paulo - SP,Pessoa Física,R$ 51900
CHEVROLET ONIX,1.0 TURBO FLEX LTZ AUTOMÁTICO,Y,2020/2020,19800 km,Araraquara - SP,Pessoa Física,R$ 83500
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX TRENDLINE 4P MANUAL,N,2016/2017,116000 km,Matozinhos - MG,Pessoa Física,R$ 37500
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2016/2017,190000 km,São Bernardo do Campo - SP,Pessoa Física,R$ 36900
RENAULT KWID,1.0 12V SCE FLEX OUTSIDER MANUAL,N,2019/2020,11200 km,São Lourenço da Mata - PE,Pessoa Física,R$ 49990
PEUGEOT 208,1.2 ACTIVE PACK 12V FLEX 4P MANUAL,N,2017/2018,77000 km,Santo André - SP,Pessoa Física,R$ 39000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2018/2019,28170 km,Araras - SP,Pessoa Física,R$ 48500
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2019/2020,12800 km,Maringá - PR,Pessoa Física,R$ 89000
NISSAN MARCH,1.0 SV 12V FLEX 4P MANUAL,N,2017/2018,19500 km,Curitiba - PR,Pessoa Física,R$ 46700
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2020,58000 km,Salvador - BA,Pessoa Física,R$ 44600
FORD KA,1.0 TI-VCT FLEX SEL MANUAL,N,2016/2017,83000 km,Maringá - PR,Pessoa Física,R$ 42000
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,29900 km,Salvador - BA,Pessoa Física,R$ 42990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2014/2015,42500 km,São Caetano do Sul - SP,Pessoa Física,R$ 41900
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2019,11600 km,Rio de Janeiro - RJ,Pessoa Física,R$ 47800
CHEVROLET ONIX,1.0 TURBO FLEX LT MANUAL,N,2020/2021,8000 km,Belo Horizonte - MG,Pessoa Física,R$ 75900
PEUGEOT 208,1.6 16V FLEX ALLURE AT6,Y,2021/2022,100 km,São Paulo - SP,Pessoa Física,R$ 85000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2015/2015,82000 km,Rancharia - SP,Pessoa Física,R$ 36500
CHEVROLET PRISMA,1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2017/2018,61600 km,Avaré - SP,Pessoa Física,R$ 63000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX COMFORTLINE 4P MANUAL,N,2016/2017,28000 km,São Paulo - SP,Pessoa Física,R$ 45000
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,36000 km,Quirinópolis - GO,Pessoa Física,R$ 45500
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,104000 km,Brasília - DF,Pessoa Física,R$ 41200
CHEVROLET TRACKER,1.2 TURBO FLEX LTZ AUTOMÁTICO,Y,2020/2021,9750 km,Campo Mourão - PR,Pessoa Física,R$ 119000
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2021/2021,1850 km,Curitiba - PR,Pessoa Física,R$ 130900
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2019/2019,30272 km,Olímpia - SP,Pessoa Física,R$ 63499
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2020,15600 km,São Paulo - SP,Pessoa Física,R$ 86865
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,44000 km,Novo Hamburgo - RS,Pessoa Física,R$ 78000
FIAT MOBI,1.0 FIREFLY FLEX DRIVE MANUAL,N,2016/2017,66000 km,Ribeirão Preto - SP,Pessoa Física,R$ 39000
AUDI E-TRON,ELÉTRICO PERFORMANCE BLACK QUATTRO,Y,2020/2020,3700 km,Itapema - SC,Pessoa Física,R$ 559000
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2019,37000 km,São Paulo - SP,Pessoa Física,R$ 46990
CHEVROLET PRISMA,1.4 MPFI LTZ 8V FLEX 4P AUTOMÁTICO,Y,2017/2017,82000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 57000
RENAULT KWID,1.0 12V SCE FLEX LIFE MANUAL,N,2018/2018,45000 km,Cuiabá - MT,Pessoa Física,R$ 35000
CHEVROLET ONIX,1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO,Y,2020/2020,49000 km,Curitiba - PR,Pessoa Física,R$ 76000
FIAT ARGO,1.3 FIREFLY FLEX DRIVE MANUAL,N,2018/2018,42000 km,Campinas - SP,Pessoa Física,R$ 58900
CHEVROLET TRACKER,1.2 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,7500 km,Itaúna - MG,Pessoa Física,R$ 128900
CHEVROLET PRISMA,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2018/2018,60000 km,Santa Isabel - SP,Pessoa Física,R$ 56900
CHEVROLET ONIX,1.0 TURBO FLEX LT MANUAL,N,2020/2020,8000 km,Balneário Camboriú - SC,Pessoa Física,R$ 71500
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2020/2021,892 km,Gaspar - SC,Pessoa Física,R$ 46900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,17000 km,Uberaba - MG,Pessoa Física,R$ 43500
VOLKSWAGEN UP,1.0 TSI PEPPER 12V FLEX 4P MANUAL,N,2019/2019,80000 km,Guarulhos - SP,Pessoa Física,R$ 65900
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX TRENDLINE 4P MANUAL,N,2017/2017,66000 km,Duque de Caxias - RJ,Pessoa Física,R$ 38500
CHEVROLET ONIX,1.0 TURBO FLEX LTZ MANUAL,N,2020/2020,9950 km,Brasília - DF,Pessoa Física,R$ 75900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2016/2017,22123 km,Marília - SP,Pessoa Física,R$ 47000
HYUNDAI HB20,1.0 COMFORT PLUS 12V FLEX 4P MANUAL,N,2018/2019,67000 km,Campinas - SP,Pessoa Física,R$ 54000
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2020,17615 km,Divinópolis - MG,Pessoa Física,R$ 86500
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2020/2020,7000 km,Niterói - RJ,Pessoa Física,R$ 88990
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,50000 km,São Carlos - SP,Pessoa Física,R$ 42500
PEUGEOT 208,1.2 ALLURE 12V FLEX 4P MANUAL,N,2019/2019,38000 km,Chapecó - SC,Pessoa Física,R$ 58900
FORD KA +,1.0 TI-VCT FLEX SE PLUS MANUAL,N,2017/2018,70000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 42800
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2020,45600 km,Belo Horizonte - MG,Pessoa Física,R$ 47500
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,63000 km,Campo Grande - MS,Pessoa Física,R$ 45900
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,50000 km,Espírito Santo do Pinhal - SP,Pessoa Física,R$ 54000
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2019/2019,14500 km,São Paulo - SP,Pessoa Física,R$ 69000
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2018/2018,62000 km,Jaguariúna - SP,Pessoa Física,R$ 50000
VOLKSWAGEN UP,1.0 TSI PEPPER 12V FLEX 4P MANUAL,N,2018/2019,40500 km,São Paulo - SP,Pessoa Física,R$ 68800
FORD KA +,1.0 TI-VCT FLEX SE MANUAL,N,2018/2019,47500 km,São José do Rio Preto - SP,Pessoa Física,R$ 48000
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2015/2015,97000 km,Vespasiano - MG,Pessoa Física,R$ 38900
CHEVROLET ONIX,1.0 MPFI LS 8V FLEX 4P MANUAL,N,2014/2015,81000 km,São Caetano do Sul - SP,Pessoa Física,R$ 39500
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2017/2018,81000 km,São Paulo - SP,Pessoa Física,R$ 42500
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2019/2019,68000 km,Campo Grande - MS,Pessoa Física,R$ 54500
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2018/2019,35000 km,Chapecó - SC,Pessoa Física,R$ 62000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,9500 km,Eusébio - CE,Pessoa Física,R$ 87000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2021/2022,100 km,São Paulo - SP,Pessoa Física,R$ 69900
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2019,37500 km,Indaiatuba - SP,Pessoa Física,R$ 47900
CHEVROLET ONIX,1.0 FLEX LT MANUAL,N,2021/2021,18000 km,Campina Grande - PB,Pessoa Física,R$ 67900
FIAT MOBI,1.0 EVO FLEX TREKKING MANUAL,N,2020/2021,15820 km,Joinville - SC,Pessoa Física,R$ 53000
VOLKSWAGEN CROSS UP,1.0 TSI 12V FLEX 4P MANUAL,N,2018/2019,44000 km,São Francisco do Sul - SC,Pessoa Física,R$ 63000
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2017/2018,46000 km,Campinas - SP,Pessoa Física,R$ 39900
FIAT MOBI,1.0 EVO FLEX EASY ON MANUAL,N,2016/2017,76500 km,São Paulo - SP,Pessoa Física,R$ 39998
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,77000 km,Lorena - SP,Pessoa Física,R$ 55000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2019/2020,10369 km,Itapevi - SP,Pessoa Física,R$ 87000
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,10200 km,Belo Horizonte - MG,Pessoa Física,R$ 47900
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2021/2021,100 km,Fortaleza - CE,Pessoa Física,R$ 66500
CHEVROLET PRISMA,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,45000 km,Extrema - MG,Pessoa Física,R$ 60000
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2019,52000 km,Goiânia - GO,Pessoa Física,R$ 46990
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2019/2020,21000 km,Presidente Prudente - SP,Pessoa Física,R$ 46900
FORD KA +,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,81000 km,Canoas - RS,Pessoa Física,R$ 41000
CHEVROLET ONIX,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Y,2021/2021,13128 km,Louveira - SP,Pessoa Física,R$ 89500
VOLKSWAGEN UP,1.0 TSI MOVE UP 12V FLEX 4P MANUAL,N,2017/2018,38000 km,Piracicaba - SP,Pessoa Física,R$ 57990
CHEVROLET ONIX,1.0 MPFI LS 8V FLEX 4P MANUAL,N,2015/2016,140000 km,Votuporanga - SP,Pessoa Física,R$ 38900
FORD KA +,1.0 TI-VCT FLEX SE MANUAL,N,2017/2018,42900 km,Rio de Janeiro - RJ,Pessoa Física,R$ 47000
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2020,14800 km,Rio de Janeiro - RJ,Pessoa Física,R$ 81900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2016,110000 km,Guarulhos - SP,Pessoa Física,R$ 40050
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2017,95000 km,Curitiba - PR,Pessoa Física,R$ 46000
FORD KA,1.0 TI-VCT FLEX SEL MANUAL,N,2015/2015,26000 km,Uberlândia - MG,Pessoa Física,R$ 40000
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2019/2020,18000 km,Goiânia - GO,Pessoa Física,R$ 67900
HYUNDAI HB20,1.0 COMFORT PLUS 12V FLEX 4P MANUAL,N,2019/2019,32550 km,Palmas - TO,Pessoa Física,R$ 55000
CHEVROLET PRISMA,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,74000 km,Primavera do Leste - MT,Pessoa Física,R$ 44600
FIAT ARGO,1.0 FIREFLY FLEX MANUAL,N,2018/2019,26000 km,Americana - SP,Pessoa Física,R$ 52900
VOLKSWAGEN UP,1.0 170 TSI TOTAL FLEX XTREME 4P MANUAL,N,2019/2020,11800 km,Petrópolis - RJ,Pessoa Física,R$ 65900
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2018/2019,50000 km,Arujá - SP,Pessoa Física,R$ 45000
CHEVROLET TRACKER,1.0 TURBO FLEX LTZ AUTOMÁTICO,Y,2021/2021,100 km,São Paulo - SP,Pessoa Física,R$ 177000
CITROËN C3,1.2 PURE TECH FLEX ATTRACTION MANUAL,N,2018/2019,58000 km,Jundiaí - SP,Pessoa Física,R$ 48900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2020/2020,21700 km,Americana - SP,Pessoa Física,R$ 53990
FORD KA,1.0 TI-VCT FLEX SE PLUS MANUAL,N,2017/2018,86000 km,Itanhaém - SP,Pessoa Física,R$ 42500
VOLKSWAGEN UP,1.0 TSI PEPPER 12V FLEX 4P MANUAL,N,2017/2018,59000 km,Barra Mansa - RJ,Pessoa Física,R$ 60990
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2019/2020,4850 km,São Paulo - SP,Pessoa Física,R$ 84200
VOLKSWAGEN FOX,1.0 MPI TRACK 12V FLEX 4P MANUAL,N,2018/2018,12330 km,Salvador - BA,Pessoa Física,R$ 87000
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2019,56000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 44990
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,53000 km,Niterói - RJ,Pessoa Física,R$ 42900
FIAT MOBI,1.0 EVO FLEX WAY MANUAL,N,2017/2018,64356 km,São Paulo - SP,Pessoa Física,R$ 44900
RENAULT KWID,1.0 12V SCE FLEX INTENSE MANUAL,N,2019/2019,14500 km,Juiz de Fora - MG,Pessoa Física,R$ 45900
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2020,32900 km,São Paulo - SP,Pessoa Física,R$ 49990
CHEVROLET ONIX,1.0 TURBO FLEX PREMIER AUTOMÁTICO,Y,2020/2021,13200 km,Campinas - SP,Pessoa Física,R$ 88900
FIAT MOBI,1.0 EVO FLEX LIKE ON MANUAL,N,2016/2017,72000 km,Guapiaçu - SP,Pessoa Física,R$ 39990
CHEVROLET PRISMA,1.4 MPFI LT 8V FLEX 4P MANUAL,N,2017/2018,89000 km,Bragança Paulista - SP,Pessoa Física,R$ 54999
VOLKSWAGEN UP,1.0 MPI TAKE UP 12V FLEX 4P MANUAL,N,2017/2018,45000 km,Rio de Janeiro - RJ,Pessoa Física,R$ 44800
HYUNDAI HB20,1.0 UNIQUE 12V FLEX 4P MANUAL,N,2019/2019,33879 km,Divinópolis - MG,Pessoa Física,R$ 50200
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2019/2019,65000 km,Várzea Grande - MT,Pessoa Física,R$ 52990
