Automóvel,Descrição,Automático,Ano,Km,Local,Anunciante,Preço
MERCEDES-BENZ GLB 200,1.3 CGI GASOLINA ADVANCE 7G-DCT,Y,2021/2021,0 km,São Paulo - SP,Loja,R$ 365888
FORD ECOSPORT,1.5 TI-VCT FLEX FREESTYLE PLUS AUTOMÁTICO,Y,2018/2019,49000 km,Siqueira Campos - PR,Loja,R$ 79900
HONDA HR-V,1.8 16V FLEX EX 4P AUTOMÁTICO,Y,2015/2016,89000 km,Siqueira Campos - PR,Loja,R$ 83900
VOLKSWAGEN SPACEFOX,1.6 MI HIGHLINE 8V FLEX 4P MANUAL,N,2014/2014,100000 km,Santa Cruz do Sul - RS,Loja,R$ 41900
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2019/2020,11200 km,São Paulo - SP,Loja,R$ 119900
CHERY TIGGO 5x,1.5 VVT TURBO iFLEX TXS DCT,Y,2019/2020,12600 km,São Paulo - SP,Loja,R$ 110900
HONDA HR-V,1.5 16V TURBO GASOLINA TOURING 4P AUTOMÁTICO,Y,2019/2020,15000 km,Jundiaí - SP,Loja,R$ 149900
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2019/2020,50399 km,Joinville - SC,Concessionária,R$ 123990
HONDA HR-V,1.8 16V FLEX EXL 4P AUTOMÁTICO,Y,2017/2018,76353 km,Joinville - SC,Concessionária,R$ 102990
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,Y,2019/2020,13300 km,Caçador - SC,Loja,R$ 114900
NISSAN LIVINA,1.8 SL 16V FLEX 4P AUTOMÁTICO,Y,2011/2012,1000 km,Rio de Janeiro - RJ,Loja,R$ 34900
HONDA HR-V,1.8 16V FLEX TOURING 4P AUTOMÁTICO,Y,2018/2018,41000 km,Jundiaí - SP,Loja,R$ 106890
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XRE DIRECT SHIFT,Y,2021/2022,100 km,Bauru - SP,Loja,R$ 166800
RENAULT LOGAN,1.0 12V SCE FLEX AUTHENTIQUE MANUAL,N,2018/2019,34000 km,Osasco - SP,Loja,R$ 44890
RENAULT DUSTER,1.6 16V SCE FLEX DYNAMIQUE MANUAL,N,2017/2018,47200 km,Porto Belo - SC,Concessionária,R$ 70900
HYUNDAI TUCSON,2.0 MPFI GLS 16V 143CV 2WD GASOLINA 4P AUTOMÁTICO,Y,2012/2013,75000 km,Indaiatuba - SP,Loja,R$ 46900
RENAULT CAPTUR,1.6 16V SCE FLEX INTENSE X-TRONIC,Y,2019/2020,24924 km,João Monlevade - MG,Loja,R$ 87000
JEEP RENEGADE,1.8 16V FLEX SPORT 4P MANUAL,N,2015/2016,61104 km,Joaçaba - SC,Loja,R$ 72900
RENAULT DUSTER,1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL,N,2013/2014,99800 km,Joinville - SC,Loja,R$ 48900
TOYOTA COROLLA CROSS,2.0 VVT-IE FLEX XRE DIRECT SHIFT,Y,2021/2022,150 km,São Paulo - SP,Loja,R$ 177900
NISSAN KICKS,1.6 16V FLEXSTART SL 4P XTRONIC,Y,2019/2020,30788 km,São Paulo - SP,Loja,R$ 103600
JEEP RENEGADE,1.8 16V FLEX 4P AUTOMÁTICO,Y,2018/2018,64775 km,Goiânia - GO,Loja,R$ 74900
VOLKSWAGEN T-CROSS,1.0 200 TSI TOTAL FLEX AUTOMÁTICO,Y,2021/2021,0 km,São José dos Campos - SP,Loja,R$ 114900
JEEP RENEGADE,1.8 16V FLEX 4P AUTOMÁTICO,Y,2018/2018,32510 km,São Paulo - SP,Loja,R$ 83900
HYUNDAI CRETA,2.0 16V FLEX PRESTIGE AUTOMÁTICO,Y,2019/2019,36500 km,São José - SC,Concessionária,R$ 104800
SUZUKI S-CROSS,1.4 16V VVT TURBO GASOLINA 4STYLE AUTOMÁTICO,Y,2019/2019,55000 km,São Paulo - SP,Loja,R$ 109900
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2019/2019,75000 km,Duque de Caxias - RJ,Loja,R$ 52990
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2018/2019,37637 km,Brasília - DF,Loja,R$ 49990
FIAT UNO,1.0 FIRE FLEX ATTRACTIVE MANUAL,N,2020/2021,54242 km,Piracicaba - SP,Loja,R$ 51990
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2019/2020,55466 km,Curitiba - PR,Loja,R$ 50810
FORD KA,1.0 TI-VCT FLEX SE SEDAN MANUAL,N,2020/2020,45040 km,Uberlândia - MG,Loja,R$ 52990
VOLKSWAGEN GOL,1.0 12V MPI TOTALFLEX 4P MANUAL,N,2020/2021,61195 km,Salvador - BA,Loja,R$ 53990
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,43000 km,Feira de Santana - BA,Loja,R$ 47990
FIAT UNO,1.0 FIRE FLEX ATTRACTIVE MANUAL,N,2019/2020,25815 km,Recife - PE,Loja,R$ 48900
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,46877 km,Belo Horizonte - MG,Loja,R$ 44590
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,51280 km,Curitiba - PR,Loja,R$ 57490
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,40184 km,Campo Grande - MS,Concessionária,R$ 49490
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,48911 km,Goiânia - GO,Loja,R$ 44590
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2020/2021,42742 km,Curitiba - PR,Loja,R$ 47460
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2019/2020,49164 km,Americana - SP,Loja,R$ 50990
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,63520 km,São Bernardo do Campo - SP,Loja,R$ 55280
FIAT ARGO,1.0 FIREFLY FLEX DRIVE MANUAL,N,2019/2020,49213 km,Feira de Santana - BA,Loja,R$ 55499
FORD KA,1.0 TI-VCT FLEX SE MANUAL,N,2016/2017,68300 km,Porto Alegre - RS,Loja,R$ 41900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2018/2018,40065 km,São Paulo - SP,Concessionária,R$ 46990
CHEVROLET ONIX,1.0 MPFI LT 8V FLEX 4P MANUAL,N,2016/2017,90132 km,Brasília - DF,Loja,R$ 47900
CHEVROLET ONIX,1.0 MPFI JOY 8V FLEX 4P MANUAL,N,2019/2020,38323 km,Joaçaba - SC,Loja,R$ 53900
RENAULT KWID,1.0 12V SCE FLEX ZEN MANUAL,N,2019/2020,45000 km,Jundiaí - SP,Loja,R$ 45900
CHEVROLET JOY,1.0 SPE4 FLEX MANUAL,N,2021/2021,0 km,Uberlândia - MG,Concessionária,R$ 59520
PEUGEOT 208,1.2 ACTIVE 12V FLEX 4P MANUAL,N,2019/2020,47192 km,Juiz de Fora - MG,Loja,R$ 52900
FIAT MOBI,1.0 EVO FLEX LIKE. MANUAL,N,2019/2020,75342 km,Juiz de Fora - MG,Loja,R$ 41900
CHEVROLET ONIX,1.0 FLEX LT MANUAL,N,2018/2018,45597 km,Juiz de Fora - MG,Loja,R$ 64900
